Source:,C:\Users\nate_\Documents\Electric_Skateboard\Remote\Remote\Remote.kicad_sch,,,,,,,,,,,,,,,,,,,,,,,
Date:,1/18/2024 12:55,,,,,,,,,,,,,,,,,,,,,,,
Tool:,Eeschema 7.0.8,,,,,,,,,,,,,,,,,,,,,,,
Generator:,C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,,,,,,,,,,,,,
Component Count:,37,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Collated Components:,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,DNP,AVAILABILITY,DESCRIPTION,Field4,MANUFACTURER,MAXIMUM_PACKAGE_HEIGHT,MF,MP,MPN,OC_FARNELL,OC_NEWARK,PACKAGE,PARTREV,PRICE,PURCHASE-URL,SNAPEDA_PN,STANDARD,SUPPLIER
1,5,"C1, C2, C3, C4, C5",CL10A475KP8NNNC,Device:C,Power_:CAPC1608X90N,CL10A475KP8NNNC,,,,,,,,,,,,,,,,,,
2,1,C6,CL05A104KA5NNNC,Device:C,MCU_:CAPC1005X55N,CL05A104KA5NNNC,,,,,,,,,,,,,,,,,,
3,1,D1,LTST-C190GKT,LTST-C190GKT:LTST-C190GKT,MCU_:LEDC1608X35N,,,In Stock,Green 571nm LED Indication - Discrete 2V 0603 (1608 Metric),,,,Lite-On Inc.,LTST-C190GKT,,,,0603 Lite-On,,None,https://pricing.snapeda.com/search/part/LTST-C190GKT/?ref=eda,,,
4,1,D3,LTST-C190GKT,LTST-C190GKT:LTST-C190GKT,MCU_:LEDC1608X35N,,,In Stock,Green 571nm LED Indication - Discrete 2V 0603 (1608 Metric),,,,Lite-On Inc.,LTST-C190GKT,,,,0603 Lite-On,,None,https://pricing.snapeda.com/search/part/LTST-C190GKT/?ref=eda,,,
5,1,D4,LTST-C190EKT,LTST-C190EKT:LTST-C190EKT,MCU_:0603,,,,,,,,,,,,,,,,,,,
6,1,J1,USB4125-GF-A,USB4125-GF-A:USB4125-GF-A_REVA2,Power_:GCT_USB4125-GF-A_REVA2,,,,,,GCT,3.16 mm,,,,,,,Rev A2,,,,Manufacturer Recommendations,
7,1,J2,B2B-XH-A,B2B-XH-A:B2B-XH-A,Power_:JST_B2B-XH-A,,,,,,JST Sales America Inc.,7 mm,,,,,,,N/A,,,,Manufacturer Recommendations,
8,1,J3,61300511121,61300511121:61300511121,MCU_:CONN5_0511121_WRE,61300511121,,,,,,,,,,,,,,,,,,
9,1,J4,M20-9990246,M20-9990246:M20-9990246,MCU_:CONN2_M20-999_1x2_HRW,M20-9990246,,,,,,,,,,,,,,,,,,
10,1,R1,RT1206BRD075KL,Device:R,Power_:RESC3116X65N,RT1206BRD075KL,,,,,,,,,,,,,,,,,,
11,2,"R2, R3",RT0603BRE07250RL,Device:R,Power_:RESC1608X55N,RT0603BRE07250RL,,,,,,,,,,,,,,,,,,
12,1,R4,ESR10EZPF1200,Device:R,MCU_:RESC2012X65N,ESR10EZPF1200,,,,,,,,,,,,,,,,,,
13,1,R5,RC0402FR-074K7L,Device:R,Power_:RESC1005X40N,RC0402FR-074K7L,,,,,,,,,,,,,,,,,,
14,2,"R6, R7",RR0816P-512-D,Device:R,Power_:RESC1608X50N,RR0816P-512-D,,,,,,,,,,,,,,,,,,
15,1,S1,EG1218,EG1218:EG1218,Power_:SW_EG1218,,,In Stock,Slide Switch SPDT Through Hole,,,,E-Switch,EG1218,,,,None,,None,https://pricing.snapeda.com/search/part/EG1218/?ref=eda,,,
16,1,S2,TL1105BF160Q,TL1105BF160Q:TL1105BF160Q,MCU_:SW_TL1105BF160Q,,,,,,E-Switch,13 mm,,,,,,,A,,,TL1105DF160Q,Manufacturer Recommendations,
17,1,U1,MCP73831T-2DCI_OT,MCP73831T-2DCI/OT:MCP73831T-2DCI_OT,Power_:SOT95P270X145-5N,,,,,,,,,,MCP73831T-2DCI/OT,1840935,84R6271,SOT23-5,,,,,,Microchip
18,1,U2,AP2210N-3.3TRG1,AP2210N-3.3TRG1:AP2210N-3.3TRG1,Power_:SOT95P280X145-3N,,,,,,Diodes Inc,,,,,,,,,,,,,
19,1,U3,STM32G030F6P6,MCU_ST_STM32G0:STM32G030F6Px,Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm,https://www.st.com/resource/en/datasheet/stm32g030f6.pdf,,,,STM32G030F6P6,,,,,,,,,,,,,,
20,1,U4,NRF24L01_Breakout,RF:NRF24L01_Breakout,RF_Module:nRF24L01_Breakout,http://www.nordicsemi.com/eng/content/download/2730/34105/file/nRF24L01_Product_Specification_v2_0.pdf,,,,,,,,,,,,,,,,,,
21,11,"U5, U6, U7, U8, U9, U10, U11, U12, U13, U14, U15",~,Via:Small_Via,MCU_:Wire_Via,,,,,,,,,,,,,,,,,,,
