Designator,Val,Package,MidX,MidY,Rotation,Layer
,,,154.43,-143.92,0,top
,,,224.92,-75.41,0,top
,,,170.376,-42.6,0,top
,,,185.844,-42.6,0,top
C1,100n,CAPC2012X88N,185.993,-115.198,0,top
C2,15p,CAP_0402C_AVX,185.9079,-132.0034,0,top
C3,2.2u,CAPC1608X90N,208.21,-118.41,0,top
C4,2.2u,CAPC1608X90N,208.22,-116.91,0,top
C5,2.2u,CAPC1608X90N,201.43,-137.73,180,top
C6,2.2u,CAPC1608X90N,201.36,-135.7,180,top
C7,100n,0603_AVX,195.5821,-132.4728,180,top
C8,15p,CAP_0402C_AVX,192.1041,-138.1374,180,top
C9,2.2u,CAPC1608X90N,210.41,-135.55,-45,top
C10,2.2u,CAPC1608X90N,215.29,-129.88,0,top
C11,2.2u,CAPC1608X90N,205.93,-118.26,90,top
C12,2.2u,CAPC1608X90N,196.98,-128.24,180,top
C13,2.2u,CAPC1608X90N,162.13,-105.69,0,top
C14,2.2u,CAPC1608X90N,206.59,-105.45,-135,top
C15,2.2u,CAPC1608X90N,205.53,-104.38,-135,top
C16,6.8n,CAP_C0805C-GEC-DG_KEM,188.2511,-101.7541,0,top
C17,2.2u,CAPC1608X90N,213.07,-103.92,-90,top
C18,120p,CAP_0603G_AVX,192.2421,-105.0528,0,top
C19,22n,CAPC10555_55N_KEM,207.686799,-108.473599,180,top
C20,2.2u,CAPC1608X90N,214.59,-103.9,-90,top
C21,100u,CAP_TPS1210_3P5X2P8_AVX,166.4612,-105.6668,0,top
C22,15n,CAPC340180_88N_KEM,199.725797,-93.670198,-90,top
C23,220n,CAPC1608X90N,205.54,-90.77,0,top
C24,220n,CAPC1608X90N,209.36,-90.26,0,top
C25,220n,CAPC1608X90N,212.37,-90.24,0,top
C26,4.7u_100v,CAPC3216X190N,217.18,-94.36,-90,top
C27,4.7u_100V,CAPC3216X190N,201.2,-89.74,180,top
C33,2.2u,CAPC1608X90N,193.59,-125.52,0,top
C34,2.2u,CAPC1608X90N,184.98,-124.42,180,top
C36,2.2u,CAPC1608X90N,206.08,-136.03,180,top
C46,680u_63V,CAPPRD500W80D1250H3500,205.19,-46.845,90,top
C47,680u_63V,CAPPRD500W80D1250H3500,205.23,-61.255,90,top
C50,2.2u,CAPC1608X90N,202.87,-112.68,0,top
C51,2.2u,CAPC1608X90N,202.9,-114.44,0,top
C55,100n,0603_AVX,196.6321,-147.2028,0,top
C56,2.2u,CAPC1608X90N,206.06,-149.93,0,top
C58,100n,0603_AVX,227.9584,-134.0179,-90,top
C64,2.2u,CAPC1608X90N,166.5,-108.86,0,top
D5,TVS 5V,DIOM4325X250N,218.09,-102.535,90,top
D7,D_Schottky,CFP3_SOD123W_NEX,200.9176,-141.4527,0,top
D8,D_Schottky,CFP3_SOD123W_NEX,200.6176,-144.8481,0,top
D9,D_Schottky,CFP3_SOD123W_NEX,206.1276,-147.5335,0,top
D10,3.6V,SOD-882_TOS,196.7309,-148.845,0,top
P1,USB_OTG,CONN_S6B-PH-SM4-TBLFSN_JST,235.478001,-90.7055,-90,top
P2,CAN,JST_B4B-PH-SM4-TB__LF__SN_,176.945,-125.745,-90,top
P4,HALL_ENC,CONN_S6B-PH-SM4-TBLFSN_JST,233.222601,-126.438301,90,top
P5,COMM,JST_B8B-PH-SM4-TB_LF__SN_,219.155,-143.465,180,top
P6,SERVO,CONN_B3B-PH-SM4-TB_JST,175.9584,-113.1054,-90,top
P7,SWD,CONN5_4-TBLFSN_JST,193.32,-118.04,90,top
Q2,IRF7749,DIRECTFET_L8_INF,170.999,-64.87,-90,top
Q4,IRF7749,DIRECTFET_L8_INF,181.249,-64.7662,-90,top
Q6,IRF7749,DIRECTFET_L8_INF,191.049,-64.6886,-90,top
R1,0R,RESC1608X55N,226.310602,-96.426,180,top
R2,22R,RESC3216X70N,226.314602,-93.731,180,top
R3,22R,RESC3216X70N,226.314602,-90.661,180,top
R5,1k,RESC3216X70N,205.646,-111.87,90,top
R6,100R,RES_RK73H2A_KOA,182.0711,-115.1633,0,top
R10,3.3k,RESC1608X55N,189.63,-104.585,-90,top
R11,18k,RESC1608X55N,188.06,-104.555,90,top
R12,15k,RESC1608X55N,192.2,-103.055,0,top
R13,10k,RESC1608X55N,199.38,-99.865,0,top
R14,220k,RESC1608X55N,192.15,-101.355,0,top
R23,220R,RESC3216X75N,181.62,-125.906,90,top
R24,0.0005R,RES_WSLP2726L5000FEA,166.185,-74.331,90,top
R25,4.7R,RESC1608X55N,200.855,-84.75,90,top
R26,4.7R,RESC1608X55N,203.499,-84.73,90,top
R27,NTC 10K,RESC1608X55N,206.07,-139.205,0,top
R28,10k,RESC1608X55N,206.09,-137.625,180,top
R29,0.0005R,RES_WSLP2726L5000FEA,179.935,-74.241,90,top
R30,4.7R,RESC1608X55N,205.053,-84.71,90,top
R31,4.7R,RESC1608X55N,206.587,-84.73,90,top
R32,0.0005R,RES_WSLP2726L5000FEA,192.765,-74.231,90,top
R33,4.7R,RESC1608X55N,208.121,-84.73,90,top
R34,4.7R,RESC1608X55N,209.585,-84.71,90,top
R38,1k,RESC3216X70N,214.98,-134.424,-45,top
R39,10k,RESC1608X55N,228,-130.105,90,top
R40,56k,RESC1608X55N,196.79,-141.465,0,top
R41,39k,RESC1608X55N,196.45,-144.875,0,top
R42,2k2,RESC2012X60N,225.433,-129.595,0,top
R43,2k2,RESC2012X60N,225.373,-127.545,0,top
R44,2k2,RESC2012X60N,225.423,-125.505,0,top
R45,1k PTC,RESC1608X55N,198.38,-139.255,0,top
R46,1k PTC,RESC1608X55N,201.54,-139.215,0,top
R47,220R,RESC3216X75N,201.196,-147.53,180,top
U1,STM32F405RGTx,LQFP-64_10x10mm_P0.5mm,206.095,-127.435,45,top
U3,DRV8301DCA,SOP50P810X120-57N,208.376,-96.665,90,top
U4,TJA1051TK-3,DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,188.835,-125.745,180,top
U8,TC2117-3.3VEBTR,TO254P1491X483-4N,165.295,-118.535,-90,top
U9,BMI160,Bosch_LGA-14_3x2.5mm_P0.5mm,203.255,-116.915,180,top
U11,SENSOR_VOLTAGE,SW_PCM12SMTR,219.965,-128.455,-90,top
Y1,8M,XTAL_ABM3B-8.000MHZ-10-1-U-T,189.85,-134.095,0,top
